contractSymbol,symbol,expiration,dte,type,strike,lastPrice,bid,ask,volume,openInterest,impliedVolatility,current_price,premium,spread,spread_percent,moneyness_percent,score,swing_score,liquidity_score,rating,recommendation,entry,take_profit,stop_loss,stock_score,stock_rating,stock_signal,stock_trend,auto_reason
NVDA260821C00225000,NVDA,2026-08-21,89,CALL,225.0,13.68,13.6,13.8,1178.0,9144.0,0.41870698486328123,215.3300018310547,13.8,0.2,1.45,4.49,100,100,5559.3,🥇 EXCELENTE,ENTRADA PRIORITARIA CALL,13.8,20.7,9.66,80,FUERTE,HOLD,UP,NVDA salió como oportunidad FUERTE
NVDA260821C00230000,NVDA,2026-08-21,89,CALL,230.0,11.85,11.8,11.95,3730.0,19124.0,0.4170590521240234,215.3300018310547,11.95,0.15,1.26,6.81,95,95,12196.7,🥇 EXCELENTE,ENTRADA PRIORITARIA CALL,11.95,17.92,8.36,80,FUERTE,HOLD,UP,NVDA salió como oportunidad FUERTE
NVDA260821C00235000,NVDA,2026-08-21,89,CALL,235.0,10.3,10.15,10.3,1972.0,5876.0,0.41559422302246096,215.3300018310547,10.3,0.15,1.46,9.13,95,95,4119.2,🥇 EXCELENTE,ENTRADA PRIORITARIA CALL,10.3,15.45,7.21,80,FUERTE,HOLD,UP,NVDA salió como oportunidad FUERTE
NVDA260821C00220000,NVDA,2026-08-21,89,CALL,220.0,15.76,15.7,15.85,4539.0,19969.0,0.42023284851074216,215.3300018310547,15.85,0.15,0.95,2.17,93,93,13025.5,🥇 EXCELENTE,ENTRADA PRIORITARIA CALL,15.85,23.78,11.1,80,FUERTE,HOLD,UP,NVDA salió como oportunidad FUERTE
NVDA260821C00210000,NVDA,2026-08-21,89,CALL,210.0,20.75,20.6,20.85,554.0,11875.0,0.4294490649414063,215.3300018310547,20.85,0.25,1.2,2.48,93,93,6780.55,🥇 EXCELENTE,ENTRADA PRIORITARIA CALL,20.85,31.28,14.6,80,FUERTE,HOLD,UP,NVDA salió como oportunidad FUERTE
TSLA260821C00420000,TSLA,2026-08-21,89,CALL,420.0,45.15,44.9,45.2,494.0,18120.0,0.5021717263793947,426.010009765625,45.2,0.3,0.66,1.41,85,85,10188.3,🔥 MUY FUERTE,SWING FUERTE CALL,45.2,67.8,31.64,65,INTERESANTE,HOLD,UP,TSLA salió como oportunidad INTERESANTE
TSLA260821C00440000,TSLA,2026-08-21,89,CALL,440.0,35.9,35.95,36.35,528.0,5879.0,0.5000202586364746,426.010009765625,36.35,0.4,1.1,3.28,85,85,3471.05,🔥 MUY FUERTE,SWING FUERTE CALL,36.35,54.53,25.44,65,INTERESANTE,HOLD,UP,TSLA salió como oportunidad INTERESANTE
TSLA260821C00430000,TSLA,2026-08-21,89,CALL,430.0,40.39,40.2,40.6,648.0,4314.0,0.5008900009155274,426.010009765625,40.6,0.4,0.99,0.94,85,85,2664.3,🔥 MUY FUERTE,SWING FUERTE CALL,40.6,60.9,28.42,65,INTERESANTE,HOLD,UP,TSLA salió como oportunidad INTERESANTE
TSLA260821C00520000,TSLA,2026-08-21,89,CALL,520.0,14.59,14.6,14.85,124.0,3576.0,0.5120288055419921,426.010009765625,14.85,0.25,1.68,22.06,81,81,2022.6,🔥 MUY FUERTE,SWING FUERTE CALL,14.85,22.28,10.4,65,INTERESANTE,HOLD,UP,TSLA salió como oportunidad INTERESANTE
TSLA260821C00480000,TSLA,2026-08-21,89,CALL,480.0,22.66,22.85,23.2,313.0,3151.0,0.5028125891113282,426.010009765625,23.2,0.35,1.51,12.67,81,81,1873.9,🔥 MUY FUERTE,SWING FUERTE CALL,23.2,34.8,16.24,65,INTERESANTE,HOLD,UP,TSLA salió como oportunidad INTERESANTE
MSFT260821C00460000,MSFT,2026-08-21,89,CALL,460.0,12.46,12.35,12.7,440.0,6159.0,0.33151913604736327,418.57000732421875,12.7,0.35,2.76,9.9,95,95,3585.45,🥇 EXCELENTE,ENTRADA PRIORITARIA CALL,12.7,19.05,8.89,65,INTERESANTE,HOLD,UP,MSFT salió como oportunidad INTERESANTE
MSFT260821C00430000,MSFT,2026-08-21,89,CALL,430.0,22.65,22.45,22.85,324.0,6227.0,0.3358373301696777,418.57000732421875,22.85,0.4,1.75,2.73,93,93,3570.65,🥇 EXCELENTE,ENTRADA PRIORITARIA CALL,22.85,34.28,16.0,65,INTERESANTE,HOLD,UP,MSFT salió como oportunidad INTERESANTE
MSFT260821C00420000,MSFT,2026-08-21,89,CALL,420.0,27.15,27.0,27.25,923.0,5110.0,0.33695121063232425,418.57000732421875,27.25,0.25,0.92,0.34,93,93,3225.85,🥇 EXCELENTE,ENTRADA PRIORITARIA CALL,27.25,40.88,19.08,65,INTERESANTE,HOLD,UP,MSFT salió como oportunidad INTERESANTE
MSFT260821C00450000,MSFT,2026-08-21,89,CALL,450.0,15.3,15.15,15.3,982.0,18281.0,0.3291693060302734,418.57000732421875,15.3,0.15,0.98,7.51,88,88,10496.45,🔥 MUY FUERTE,SWING FUERTE CALL,15.3,22.95,10.71,65,INTERESANTE,HOLD,UP,MSFT salió como oportunidad INTERESANTE
MSFT260821C00480000,MSFT,2026-08-21,89,CALL,480.0,8.35,8.2,8.45,598.0,12165.0,0.3328313787841797,418.57000732421875,8.45,0.25,2.96,14.68,88,88,6959.85,🔥 MUY FUERTE,SWING FUERTE CALL,8.45,12.68,5.91,65,INTERESANTE,HOLD,UP,MSFT salió como oportunidad INTERESANTE
