contractSymbol,symbol,expiration,dte,type,strike,lastPrice,bid,ask,volume,openInterest,impliedVolatility,current_price,premium,spread,spread_percent,moneyness_percent,score,swing_score,liquidity_score,rating,entry_price,stop_loss,take_profit
NVDA260717C00220000,NVDA,2026-07-17,54,CALL,220.0,11.16,11.1,11.25,9521.0,76225.0,0.4032652447509766,215.3300018310547,11.25,0.15,1.33,2.17,100,100,46208.2,EXCELENTE,11.25,7.87,16.88
AAPL260821C00320000,AAPL,2026-08-21,89,CALL,320.0,10.65,10.45,10.85,1190.0,72328.0,0.2555006091308594,308.82000732421875,10.85,0.4,3.69,3.62,100,100,40315.9,EXCELENTE,10.85,7.59,16.27
AAPL260717C00320000,AAPL,2026-07-17,54,CALL,320.0,6.35,6.3,6.45,3636.0,35836.0,0.23139196350097657,308.82000732421875,6.45,0.15,2.33,3.62,100,100,21346.0,EXCELENTE,6.45,4.51,9.68
IWM260717C00285000,IWM,2026-07-17,54,CALL,285.0,10.22,10.22,10.44,1528.0,33797.0,0.23731231445312498,285.1199951171875,10.44,0.22,2.11,0.04,100,100,19275.95,EXCELENTE,10.44,7.31,15.66
AAPL260717C00310000,AAPL,2026-07-17,54,CALL,310.0,10.95,10.55,10.85,10706.0,31611.0,0.24079128356933593,308.82000732421875,10.85,0.3,2.76,0.38,100,100,22203.75,EXCELENTE,10.85,7.59,16.27
AMZN260717C00275000,AMZN,2026-07-17,54,CALL,275.0,9.25,8.95,9.25,4339.0,24347.0,0.3164741204833984,266.32000732421875,9.25,0.3,3.24,3.26,100,100,15343.4,EXCELENTE,9.25,6.48,13.88
NFLX260717C00090000,NFLX,2026-07-17,54,CALL,90.0,4.7,4.65,4.75,2587.0,20866.0,0.39600213378906257,88.5999984741211,4.75,0.1,2.11,1.58,100,100,12640.45,EXCELENTE,4.75,3.32,7.12
AAPL260717C00305000,AAPL,2026-07-17,54,CALL,305.0,13.09,13.25,13.65,2206.0,18373.0,0.24719991088867188,308.82000732421875,13.65,0.4,2.93,1.24,100,100,11097.85,EXCELENTE,13.65,9.56,20.48
SPY260717P00710000,SPY,2026-07-17,54,PUT,710.0,6.96,6.91,6.92,622.0,18365.0,0.17789518402099608,745.6400146484375,6.92,0.01,0.14,4.78,100,100,10380.65,EXCELENTE,6.92,4.84,10.38
NVDA260717C00225000,NVDA,2026-07-17,54,CALL,225.0,9.2,9.15,9.25,4244.0,16873.0,0.4011900701904296,215.3300018310547,9.25,0.1,1.08,4.49,100,100,11189.95,EXCELENTE,9.25,6.48,13.88
SPY260717C00780000,SPY,2026-07-17,54,CALL,780.0,4.49,4.48,4.52,382.0,16237.0,0.13869574691772463,745.6400146484375,4.52,0.04,0.88,4.61,100,100,9102.25,EXCELENTE,4.52,3.16,6.78
IWM260821P00280000,IWM,2026-08-21,89,PUT,280.0,10.0,9.98,10.18,1754.0,14585.0,0.2260819580078125,285.1199951171875,10.18,0.2,1.96,1.8,100,100,8811.05,EXCELENTE,10.18,7.13,15.27
GOOGL260717C00400000,GOOGL,2026-07-17,54,CALL,400.0,11.95,11.7,12.3,1194.0,14045.0,0.3273687869262696,382.9700012207031,12.3,0.6,4.88,4.45,100,100,8262.05,EXCELENTE,12.3,8.61,18.45
NFLX260717P00090000,NFLX,2026-07-17,54,PUT,90.0,5.5,5.45,5.6,753.0,13794.0,0.35559726440429684,88.5999984741211,5.6,0.15,2.68,1.58,100,100,7925.55,EXCELENTE,5.6,3.92,8.4
SPY260717P00725000,SPY,2026-07-17,54,PUT,725.0,9.84,9.66,9.71,4391.0,13757.0,0.1613548220825195,745.6400146484375,9.71,0.05,0.51,2.77,100,100,9542.3,EXCELENTE,9.71,6.8,14.57
PLTR260717P00135000,PLTR,2026-07-17,54,PUT,135.0,8.22,8.1,8.4,541.0,13624.0,0.44690494506835937,136.8800048828125,8.4,0.3,3.57,1.37,100,100,7736.65,EXCELENTE,8.4,5.88,12.6
NVDA260717P00210000,NVDA,2026-07-17,54,PUT,210.0,9.85,9.75,9.85,1712.0,13568.0,0.37830211547851555,215.3300018310547,9.85,0.1,1.02,2.48,100,100,8232.8,EXCELENTE,9.85,6.9,14.77
NFLX260717P00085000,NFLX,2026-07-17,54,PUT,85.0,3.23,3.15,3.3,753.0,11719.0,0.3675600354003906,88.5999984741211,3.3,0.15,4.55,4.06,100,100,6784.3,EXCELENTE,3.3,2.31,4.95
SPY260717P00720000,SPY,2026-07-17,54,PUT,720.0,8.64,8.6,8.65,9400.0,11561.0,0.16678689666748053,745.6400146484375,8.65,0.05,0.58,3.44,100,100,10588.55,EXCELENTE,8.65,6.06,12.98
SPY260717P00730000,SPY,2026-07-17,54,PUT,730.0,10.91,10.87,10.92,1487.0,11353.0,0.1559532647705078,745.6400146484375,10.92,0.05,0.46,2.1,100,100,6913.3,EXCELENTE,10.92,7.64,16.38
QQQ260717C00750000,QQQ,2026-07-17,54,CALL,750.0,10.63,10.59,10.89,1788.0,10809.0,0.21021297607421874,717.5399780273438,10.89,0.3,2.75,4.52,100,100,6749.55,EXCELENTE,10.89,7.62,16.34
NVDA260717P00205000,NVDA,2026-07-17,54,PUT,205.0,7.77,7.8,7.9,2372.0,10128.0,0.3845276391601562,215.3300018310547,7.9,0.1,1.27,4.8,100,100,6637.8,EXCELENTE,7.9,5.53,11.85
PLTR260717P00140000,PLTR,2026-07-17,54,PUT,140.0,10.95,10.8,11.0,715.0,9970.0,0.4410456286621094,136.8800048828125,11.0,0.2,1.82,2.28,100,100,5805.25,EXCELENTE,11.0,7.7,16.5
NVDA260821P00210000,NVDA,2026-08-21,89,PUT,210.0,13.48,13.45,13.65,989.0,9863.0,0.3867859173583984,215.3300018310547,13.65,0.2,1.47,2.48,100,100,5869.7,EXCELENTE,13.65,9.56,20.48
PLTR260717C00140000,PLTR,2026-07-17,54,CALL,140.0,8.55,8.45,8.6,1234.0,8813.0,0.4752860089111328,136.8800048828125,8.6,0.15,1.74,2.28,100,100,5402.45,EXCELENTE,8.6,6.02,12.9
AMZN260717C00270000,AMZN,2026-07-17,54,CALL,270.0,11.3,11.1,11.4,720.0,8686.0,0.31995308959960933,266.32000732421875,11.4,0.3,2.63,1.38,100,100,5101.3,EXCELENTE,11.4,7.98,17.1
AAPL260717C00315000,AAPL,2026-07-17,54,CALL,315.0,8.49,8.1,8.45,2427.0,7450.0,0.2355423126220703,308.82000732421875,8.45,0.35,4.14,2.0,100,100,5189.65,EXCELENTE,8.45,5.91,12.68
MSFT260717P00400000,MSFT,2026-07-17,54,PUT,400.0,9.1,9.1,9.3,365.0,7359.0,0.27082028015136717,418.57000732421875,9.3,0.2,2.15,4.44,100,100,4211.7,EXCELENTE,9.3,6.51,13.95
QQQ260717C00740000,QQQ,2026-07-17,54,CALL,740.0,14.18,14.16,14.52,2041.0,6492.0,0.21558401611328126,717.5399780273438,14.52,0.36,2.48,3.13,100,100,4489.05,EXCELENTE,14.52,10.16,21.78
QQQ260717P00690000,QQQ,2026-07-17,54,PUT,690.0,12.85,12.79,12.9,1950.0,6435.0,0.22440350799560543,717.5399780273438,12.9,0.11,0.85,3.84,100,100,4416.75,EXCELENTE,12.9,9.03,19.35
PLTR260717C00135000,PLTR,2026-07-17,54,CALL,135.0,10.93,10.85,11.05,504.0,6432.0,0.4840139489746094,136.8800048828125,11.05,0.2,1.81,1.37,100,100,3764.4,EXCELENTE,11.05,7.74,16.58
MSFT260717C00430000,MSFT,2026-07-17,54,CALL,430.0,14.1,14.0,14.45,1496.0,6093.0,0.30179531219482425,418.57000732421875,14.45,0.45,3.11,2.73,100,100,4024.35,EXCELENTE,14.45,10.11,21.67
